Nombre,Edad,Departamento,Calificacion,Beca
Ana Garcia,25,Historia,8.07,Si
Maria Lopez,19,Quimica,5.81,Si
Juan Perez,22,Historia,2.53,No
Maria Rodriguez,27,Economia,0.83,No
Sofia Martinez,21,Ingenieria,1.12,No
Juan Lopez,20,Quimica,2.72,No
Maria Garcia,29,Arte,6.81,No
Pedro Lopez,25,Historia,8.1,No
Elena Garcia,20,Ingenieria,3.61,Si
Luis Rodriguez,22,Derecho,0.77,No
Javier Garcia,29,Matematicas,2.47,No
Luis Garcia,24,Fisica,3.51,No
Carlos Lopez,20,Biologia,5.94,No
Luis Lopez,30,Historia,5.37,No
Ana Martinez,25,Fisica,8.23,Si
Javier Rodriguez,21,Quimica,7.48,No
Maria Lopez,22,Derecho,9.59,No
Pedro Martinez,30,Medicina,5.66,No
Juan Lopez,18,Derecho,8.78,Si
Javier Rodriguez,30,Ingenieria,7.49,Si
Ana Perez,30,Ingenieria,2.37,No
Carlos Lopez,26,Quimica,7.47,No
Ana Garcia,21,Medicina,3.11,Si
Sofia Rodriguez,26,Ingenieria,1.23,No
Laura Rodriguez,19,Ingenieria,2.47,No
Ana Lopez,19,Quimica,9.26,Si
Sofia Garcia,26,Quimica,3.83,Si
Javier Lopez,22,Medicina,8.14,Si
Ana Rodriguez,18,Medicina,7.06,Si
Carlos Perez,22,Medicina,2.19,Si
Elena Martinez,25,Medicina,7.17,Si
Pedro Rodriguez,18,Historia,8.34,Si
Laura Rodriguez,18,Biologia,5.06,No
Laura Rodriguez,29,Derecho,0.38,No
Carlos Perez,20,Derecho,7.94,Si
Maria Garcia,23,Arte,5.21,Si
Pedro Perez,23,Quimica,4.07,Si
Juan Martinez,29,Derecho,6.91,No
Elena Perez,18,Quimica,5.85,Si
Elena Martinez,22,Arte,7.34,Si
Elena Garcia,25,Historia,2.24,Si
Carlos Garcia,25,Matematicas,6.84,Si
Juan Rodriguez,20,Matematicas,8.06,No
Elena Lopez,28,Historia,4.61,No
Juan Perez,27,Fisica,0.8,No
Sofia Garcia,25,Matematicas,9.59,Si
Maria Perez,18,Historia,0.5,No
Ana Rodriguez,18,Medicina,6.41,Si
Pedro Rodriguez,18,Historia,3.14,No
Sofia Perez,30,Arte,10.0,Si
Maria Martinez,30,Arte,0.92,No
Sofia Perez,19,Quimica,5.56,No
Javier Garcia,26,Economia,3.79,No
Ana Lopez,23,Economia,5.8,No
Elena Garcia,20,Quimica,1.24,No
Sofia Rodriguez,24,Economia,3.95,Si
Luis Perez,25,Derecho,3.94,Si
Sofia Garcia,30,Fisica,9.35,Si
Laura Perez,30,Quimica,1.29,No
Elena Garcia,21,Arte,0.56,No
Javier Martinez,25,Arte,6.52,No
Ana Martinez,22,Arte,3.45,No
Maria Rodriguez,26,Matematicas,9.98,Si
Pedro Garcia,20,Derecho,5.3,Si
Juan Perez,26,Ingenieria,0.92,No
Luis Garcia,19,Economia,3.87,No
Laura Garcia,21,Economia,8.51,Si
Luis Garcia,29,Fisica,5.06,Si
Elena Garcia,19,Biologia,6.05,Si
Pedro Martinez,18,Arte,8.12,Si
Luis Garcia,28,Arte,2.14,Si
Juan Lopez,25,Matematicas,1.72,Si
Juan Lopez,29,Ingenieria,1.04,No
Ana Martinez,23,Historia,7.31,Si
Maria Garcia,25,Ingenieria,8.64,No
Maria Rodriguez,28,Historia,6.22,No
Javier Perez,20,Matematicas,4.2,No
Javier Perez,18,Fisica,8.37,Si
Carlos Perez,19,Matematicas,2.86,No
Laura Lopez,27,Historia,1.78,Si
Carlos Garcia,22,Arte,4.62,No
Javier Rodriguez,26,Medicina,4.27,Si
Javier Rodriguez,25,Economia,7.77,No
Luis Rodriguez,28,Historia,5.81,Si
Carlos Perez,18,Derecho,4.55,Si
Sofia Rodriguez,22,Biologia,1.16,No
Maria Rodriguez,29,Biologia,1.99,Si
Elena Garcia,18,Biologia,1.69,Si
Pedro Lopez,20,Economia,6.74,Si
Sofia Lopez,20,Derecho,6.24,Si
Laura Garcia,19,Matematicas,2.99,Si
Ana Perez,28,Matematicas,7.16,No
Javier Martinez,27,Medicina,8.76,Si
Maria Rodriguez,18,Quimica,4.55,No
Sofia Garcia,20,Economia,4.95,Si
Ana Rodriguez,21,Ingenieria,1.27,No
Elena Lopez,25,Fisica,1.46,No
Juan Lopez,18,Ingenieria,5.74,No
Laura Garcia,19,Historia,5.26,No
Elena Martinez,19,Arte,2.16,No
Juan Perez,28,Historia,8.13,No
Laura Lopez,26,Derecho,6.5,Si
Maria Garcia,24,Matematicas,0.42,Si
Carlos Lopez,25,Quimica,1.24,Si
Maria Rodriguez,25,Medicina,5.2,No
Luis Lopez,21,Derecho,6.67,Si
Maria Rodriguez,19,Ingenieria,7.64,Si
Juan Perez,20,Ingenieria,0.94,Si
Carlos Perez,26,Quimica,6.81,No
Elena Martinez,30,Medicina,9.28,Si
Javier Garcia,25,Fisica,5.32,Si
Sofia Perez,27,Biologia,8.11,Si
Juan Garcia,28,Biologia,8.06,Si
Pedro Garcia,20,Fisica,5.88,No
Maria Martinez,22,Arte,2.47,Si
Ana Garcia,22,Historia,3.33,No
Maria Perez,27,Derecho,8.49,No
Luis Martinez,27,Ingenieria,3.36,Si
Maria Martinez,25,Quimica,1.31,No
Laura Perez,26,Fisica,9.1,No
Ana Martinez,18,Historia,4.48,No
Elena Garcia,22,Medicina,8.87,No
Maria Rodriguez,21,Historia,3.03,Si
Luis Martinez,22,Economia,7.86,No
Luis Perez,25,Ingenieria,9.14,Si
Juan Garcia,25,Matematicas,6.05,No
Juan Rodriguez,30,Matematicas,6.3,No
Maria Garcia,30,Quimica,6.95,No
Javier Rodriguez,29,Matematicas,4.73,Si
Javier Garcia,19,Matematicas,1.35,No
Ana Garcia,22,Ingenieria,0.53,Si
Maria Rodriguez,24,Biologia,1.71,No
Maria Perez,26,Derecho,2.42,No
Luis Rodriguez,18,Biologia,0.31,Si
Pedro Martinez,20,Economia,6.89,No
Carlos Lopez,19,Biologia,0.27,Si
Maria Martinez,22,Economia,4.33,Si
Javier Perez,18,Arte,0.19,No
Maria Rodriguez,20,Medicina,6.19,No
Laura Garcia,28,Historia,6.66,Si
Pedro Martinez,21,Historia,8.68,No
Juan Rodriguez,21,Medicina,9.23,Si
Elena Martinez,28,Economia,5.42,Si
Laura Perez,22,Economia,7.38,No
Pedro Perez,25,Derecho,1.07,Si
Sofia Lopez,28,Ingenieria,7.25,No
Carlos Perez,21,Medicina,4.73,No
Pedro Lopez,25,Economia,4.3,Si
Laura Martinez,18,Historia,9.9,No
Laura Rodriguez,27,Biologia,8.98,No
Elena Garcia,27,Quimica,1.53,No
Laura Martinez,28,Economia,3.16,Si
Carlos Martinez,28,Ingenieria,0.19,No
Luis Garcia,28,Economia,7.01,No
Luis Perez,22,Fisica,8.7,No
Maria Garcia,24,Derecho,1.45,No
Carlos Perez,25,Derecho,9.08,No
Carlos Martinez,20,Derecho,2.2,Si
Ana Rodriguez,20,Medicina,9.3,No
Juan Rodriguez,29,Arte,8.68,Si
Luis Perez,18,Historia,2.22,No
Maria Perez,28,Medicina,4.3,No
Carlos Rodriguez,19,Fisica,3.08,No
Carlos Garcia,23,Biologia,4.62,Si
Sofia Martinez,23,Biologia,2.57,Si
Sofia Garcia,20,Arte,7.01,No
Juan Martinez,30,Biologia,0.78,No
Carlos Martinez,30,Economia,4.91,No
Maria Perez,28,Biologia,3.51,No
Carlos Garcia,21,Historia,2.55,Si
Juan Perez,21,Historia,0.86,Si
Carlos Lopez,22,Historia,1.49,Si
Javier Lopez,19,Medicina,1.09,Si
Carlos Garcia,25,Derecho,2.29,No
Javier Perez,18,Quimica,9.05,No
Sofia Martinez,26,Derecho,6.03,Si
Ana Lopez,25,Ingenieria,4.0,Si
Luis Rodriguez,19,Fisica,7.52,Si
Juan Perez,23,Matematicas,3.21,No
Carlos Perez,30,Matematicas,0.77,Si
Sofia Lopez,18,Medicina,6.6,No
Luis Rodriguez,27,Historia,8.81,No
Carlos Martinez,26,Derecho,0.78,No
Sofia Lopez,30,Fisica,2.57,No
Pedro Garcia,29,Derecho,7.89,Si
Laura Garcia,19,Economia,0.83,Si
Pedro Martinez,19,Derecho,9.96,No
Pedro Martinez,24,Biologia,3.76,No
Javier Garcia,30,Matematicas,4.89,No
Ana Rodriguez,26,Quimica,9.62,No
Luis Perez,19,Quimica,5.42,No
Juan Martinez,30,Fisica,0.19,No
Luis Perez,24,Historia,1.89,No
Pedro Rodriguez,30,Derecho,7.21,No
Elena Lopez,22,Historia,5.17,Si
Maria Martinez,25,Fisica,4.97,No
Maria Perez,30,Matematicas,9.39,No
Pedro Garcia,20,Historia,3.14,Si
Javier Lopez,18,Economia,4.2,Si
Javier Lopez,24,Economia,0.08,Si
Maria Lopez,23,Historia,6.09,Si
Laura Martinez,20,Ingenieria,5.51,Si
Juan Perez,23,Ingenieria,8.58,No
Carlos Garcia,21,Fisica,1.57,Si
Juan Garcia,22,Economia,9.52,No
Juan Perez,23,Arte,7.85,No
Laura Rodriguez,19,Derecho,9.66,Si
Carlos Perez,24,Quimica,6.38,No
Sofia Rodriguez,25,Fisica,4.97,Si
Juan Garcia,30,Ingenieria,4.53,Si
Elena Perez,27,Ingenieria,4.64,No
Carlos Perez,29,Economia,1.85,No
Juan Rodriguez,28,Quimica,7.73,Si
Laura Perez,28,Medicina,6.32,Si
Juan Garcia,24,Matematicas,6.11,Si
Carlos Garcia,30,Biologia,9.29,Si
Ana Lopez,23,Quimica,5.19,Si
Pedro Rodriguez,28,Economia,8.85,Si
Laura Perez,28,Derecho,8.54,Si
Maria Perez,30,Ingenieria,3.34,Si
Sofia Perez,26,Fisica,7.72,No
Laura Perez,22,Ingenieria,4.84,No
Pedro Lopez,29,Fisica,6.1,Si
Maria Perez,29,Historia,2.32,Si
Juan Lopez,24,Derecho,1.16,Si
Javier Garcia,29,Medicina,6.51,Si
Luis Perez,29,Historia,8.93,No
Javier Rodriguez,19,Arte,0.14,No
Ana Garcia,21,Ingenieria,4.75,Si
Maria Perez,26,Medicina,6.24,Si
Javier Garcia,25,Economia,4.79,Si
Laura Garcia,27,Arte,9.31,Si
Carlos Garcia,20,Quimica,5.27,No
Javier Martinez,19,Matematicas,1.47,Si
Elena Perez,26,Arte,6.19,No
Ana Lopez,24,Arte,0.79,Si
Javier Perez,20,Economia,6.74,No
Sofia Rodriguez,27,Matematicas,6.11,Si
Carlos Martinez,30,Fisica,2.32,Si
Luis Lopez,27,Economia,2.22,No
Elena Lopez,21,Medicina,5.62,No
Sofia Perez,22,Matematicas,9.44,Si
Pedro Martinez,21,Economia,3.45,Si
Elena Garcia,30,Fisica,5.88,No
Javier Rodriguez,24,Ingenieria,9.26,No
Ana Lopez,30,Economia,5.28,Si
Sofia Rodriguez,22,Ingenieria,2.87,No
Ana Rodriguez,21,Quimica,7.51,Si
Maria Garcia,27,Matematicas,7.85,No
Laura Garcia,21,Fisica,2.31,Si
Ana Garcia,27,Fisica,3.35,No
Elena Perez,19,Fisica,7.02,Si
Ana Martinez,25,Fisica,0.88,Si
Maria Rodriguez,27,Arte,9.6,Si
Pedro Martinez,28,Biologia,8.39,No
Carlos Garcia,24,Medicina,6.66,Si
Maria Lopez,29,Ingenieria,8.08,Si
Carlos Martinez,26,Biologia,2.94,Si
Laura Rodriguez,21,Derecho,0.38,No
Juan Perez,23,Matematicas,9.07,No
Pedro Rodriguez,19,Biologia,1.54,No
Sofia Perez,20,Ingenieria,1.37,No
Javier Rodriguez,23,Economia,0.25,No
Sofia Garcia,25,Fisica,5.8,No
Luis Garcia,19,Matematicas,9.14,No
Juan Lopez,30,Quimica,3.39,Si
Pedro Lopez,25,Quimica,3.36,No
Sofia Lopez,26,Arte,9.81,No
Javier Lopez,26,Derecho,4.69,Si
Laura Perez,21,Fisica,7.46,Si
Sofia Garcia,19,Matematicas,1.07,No
Sofia Lopez,29,Biologia,5.4,Si
Laura Garcia,20,Matematicas,0.54,Si
Laura Lopez,27,Matematicas,5.51,Si
Laura Lopez,23,Medicina,3.02,No
Elena Rodriguez,24,Biologia,9.28,No
Pedro Martinez,19,Historia,8.18,No
Juan Rodriguez,19,Historia,5.62,Si
Ana Garcia,21,Historia,6.15,No
Javier Lopez,25,Historia,1.0,No
Laura Martinez,26,Derecho,2.04,No
Pedro Rodriguez,26,Ingenieria,9.11,Si
